,Competence_Name,Competence_ID,Value
0,Knowledge representation and reasoning,CAI_01,0.20
1,Automated planning and scheduling,CAI_02,0.30
2,Machine learning,CAI_03,0.52
3,Natural language processing,CAI_04,0.18
4,Machine perception,CAI_05,0.56
5,Computer vision,CAI_06,0.69
6,Speech recognition,CAI_07,0.38
7,Robotics,CAI_08,1.00
8,Affective computing,CAI_09,0.23
9,Deep learning,CAI_10,0.41
10,Information retrieval,CAI_11,0.10
11,Computer science,CAI_12,0.28
12,Causality,CAI_13,0.59
13,Data mining,CAI_14,0.76
14,Commonsense knowledge,CAI_15,0.19
15,Intelligent agent,CAI_16,0.25
